"ID","How many teeth  does a human usually have? (Note this question is a mock question and does not influence your result)","1/15 What is the name of the species of Noxrama, Klarnu and gluber?","2/15 On which planet do they live?","3/15 What superpower has Klarnu?","4/15 What are the neighbors of Hakol?","5/15 Which of the planets has high mountains?","6/15 Which planet is the smallest? (Hint: The one with the ring in its atmosphere.)","7/15 Which species are Flox and Nol?","8/15 On which planet does Nol live?","9/15 What is the name of the city on the mountain?","10/15 How many planets are in that universe?","11/15 How many species does this parallel universe entail?","12/15 Which humanoid species live peacefully together.","13/15 How old is Hakol?","14/15 What is the name of the fluid substance that occurred 10 million years ago on Hakol?","15/15 How many legs has a Gloka?","Example: Do you like pizza? (Note that this question is a mock question and does not influence our results)","1/10 Did you understand the content of the lectures? ","2/10 Did you find the lectures to be too difficult?","3/10 Did you try your best at understanding the lectures and answering the questions?","4/10 Did the robotic reaction in between the sessions affect you emotionally?","4.5/10 If yes in what way? ","5/10 Did the reactions of the robot influence your decision to request a repetition of a lecture?","6/10 Were the reactions of the robot helpful and or beneficial for your learning experience?","7/10 Overall, did you find the robot to be a good teacher?","8/10 Did you find the robot to be sympathetic?","9/10 Do you feel like the robot cared about your success?","10/10 Do you feel like the robot is sentient?","How old are you?","Which gender do you identify with?","Which academic degree do you have?","Do you have feedback?"
"9b5f1109","32","Prozu Falares","Hakol","high jumps","Graz and Flasso","Klux","Ulas","Globlugs","Flasso","Palos","20.000","290.000","Jate Rales and Zufa Rufu","17 Million years","Topus","6","5","4","3","5","4","","2","1","3","3","4","3","20","female","none/Abitur","The names were too difficult to remember, especially because there were so many in a short amount of time. All in all, the experiment was bien:)"
"b156285e","36","Prozu Falares","Globlug","high jumps","Flasso and Klux","Globlug","Klux","Moka Nules","Klax","Palaso","2.000","290.000","Jate Rales and Zufa Rufu","19 Million years","Topus","8","5","5","3","5","4","I was a little trotzig, felt treated unnecessarily harsh, had the impuls to just skip repeating to be done more quickly. ","1","1","2","1","1","3","22","f","allg. Hochschulreife","nice:D I found it to be a lot of content, and very quick input. I lacked an overview over the species and the names were hard for me to remember and recall without the visual cues to help"
"c7995331","32","Prozu Falares","Hakol","good smelling","Globlug and Flasso","Flasso","Klux","Klono Pales","Globlug","Palaso","20.000","310.000","Zufa Rufu Moka Nules","17 Million years","Tapus","6","4","5","3","5","3","encouraging ""peptalk""","3","4","3","5","4","4","22","female","Bachelor of Science","I would consider myself more of a visual instead of an auditory learner. I wonder if more visual cues would have had an impact on my learning ;)"
"d14bad8d","36","Noxramas","Globlug","high jumps","Flasso and Klux","Flasso","Klux","Prozu Falares","Flasso","Palaso","2.000","290.000","Klono Pales and Prozu Falares","19 Million years","Tapus","6","5","3","4","4","2","I think the robot was funny. I had a good time listening to it's (her/his :D) voice.","2","2","2","5","5","3","23","male","currently doing my bachelors","I really liked my interaction with the robot. I have to admit that the lectures incorporated a lot of information, which (because it is arbitrary) was hard to connect to other experiences I have and therefore increased the difficulty. On a personal note I would say, that I usually would repeat everything if I have to make a test afterwords, but I tried to only do so if I really needed during the experiment. In a normal situation I would have written down the information and asked myself about it to remember it. So overall I think the test was quite tough for me, without saying that the robot is at center of the problem."
"e8e251f1","32","Prozu Falares","Hakol","high jumps","Globlug and Flasso","Klux","Klux","Klono Pales","Globlug","Palaso","2.000","290.000","Jate Rales and Zufa Rufu","17 Million years","Topus","6","5","5","1","4","4","annoyance","3","1","1","1","2","2","24","male","Bachelor of Science","great idea for an experiment. my left and right controls were the other way around (probably intended)"
"ec32ecea","32","Prozu Falares","Prozus","magic eyes","Globlug and Flasso","Klux","Ulas","Prozu Falares","Globlug","Palasi","20.000","290.000","Zufa Rufu Moka Nules","19 Million years","Topus","6","5","5","1","4","2","She was really friendly","1","1","4","5","4","4","21","male","student in bachelor","difficult names "
"f58735de","24","Noxramas","Prozus","high jumps","Globlug and Flasso","Flasso","Ulas","Klono Pales","Klax","Palos","3.000","310.000","Moka Nules and Jata Rales","19 Million years","Topas","4","4","4","3","4","4","... if you pass Ill pass ...","4","4","3","4","3","2","26","m","bachelor",""
"f7c70bce","42","Prozu Falares","Globlug","magic eyes","Flasso and Klux","Flasso","Klux","Prozu Falares","Flasso","Palasa","2.000","290.000","Zufa Rufu Moka Nules","17 Million years","Topus","6","5","4","2","5","4","It motivated me to continue trying my best to understand the lectures","1","4","4","3","3","3","21","female ","Abitur ",""
"f9759a34","36","Noxramas","Globlug","good smelling","Globlug and Flasso","Flasso","Graz","Prozu Falares","Globlug","Palasi","2.000","290.000","Jate Rales and Zufa Rufu","1,9 Million years","Topas","6","4","5","2","4","3","","1","3","4","3","3","2","23","Male","Bachelor","Make the nasty answers of the robot less repetitive"
"ff4dcbf7","32","Prozu Falares","Globlug","magic eyes","Graz and  Klux","Flasso","Klux","Klono Pales","Ulas","Palaso","2.000","290.000","Klono Pales and Prozu Falares","17 Million years","Topus","6","5","4","1","5","4","The robot's enthusiasm was heartwaring to see, so I was ever more ambitious to avoid re-listening to the lectures.","2","3","5","5","4","4","19","female","highschool graduate, doing my bachelor's right now","At first, when the robot is hovering closer on the table, this is quite intimidating, because it is quite big. Apart form that though, the experience is really nice."
"ffa00716","32","Prozu Falares","Prozus","good smelling","Graz and  Klux","Globlug","Klux","Klono Pales","Globlug","Palaso","2.000","290.000","Klono Pales and Prozu Falares","19 Million years","Topus","6","5","4","2","5","4","When it was angry because I wanted to repeat a lecture, I felt stupid and wanted to do better.","4","4","4","2","5","5","27","female","Fachabitur",""
